Index,Lat,Lon,GPS time,UTC
6882,20.98357817,105.92508133,2305:523361.600,01:22:23.650 03/16/2024
6883,20.98358050,105.92507983,2305:523361.650,01:22:23.700 03/16/2024
6884,20.98358283,105.92507833,2305:523361.700,01:22:23.750 03/16/2024
6885,20.98358500,105.92507650,2305:523361.750,01:22:23.800 03/16/2024
6886,20.98358683,105.92507483,2305:523361.800,01:22:23.850 03/16/2024
6887,20.98358917,105.92507300,2305:523361.850,01:22:23.900 03/16/2024
6888,20.98359133,105.92507133,2305:523361.900,01:22:23.950 03/16/2024
6889,20.98359367,105.92506967,2305:523361.950,01:22:24.000 03/16/2024
6890,20.98359567,105.92506833,2305:523362.000,01:22:24.050 03/16/2024
6891,20.98359783,105.92506683,2305:523362.050,01:22:24.100 03/16/2024
6892,20.98359983,105.92506533,2305:523362.100,01:22:24.150 03/16/2024
6893,20.98360200,105.92506383,2305:523362.150,01:22:24.200 03/16/2024
6894,20.98360400,105.92506217,2305:523362.200,01:22:24.250 03/16/2024
6895,20.98360617,105.92506083,2305:523362.250,01:22:24.300 03/16/2024
6896,20.98360833,105.92505950,2305:523362.300,01:22:24.350 03/16/2024
6897,20.98361033,105.92505850,2305:523362.350,01:22:24.400 03/16/2024
6898,20.98361217,105.92505733,2305:523362.400,01:22:24.450 03/16/2024
6899,20.98361417,105.92505617,2305:523362.450,01:22:24.500 03/16/2024
6900,20.98361617,105.92505517,2305:523362.500,01:22:24.550 03/16/2024
6901,20.98361800,105.92505383,2305:523362.550,01:22:24.600 03/16/2024
6902,20.98362000,105.92505300,2305:523362.600,01:22:24.650 03/16/2024
6903,20.98362183,105.92505150,2305:523362.650,01:22:24.700 03/16/2024
6904,20.98362367,105.92505017,2305:523362.700,01:22:24.750 03/16/2024
6905,20.98362550,105.92504867,2305:523362.750,01:22:24.800 03/16/2024
6906,20.98362733,105.92504750,2305:523362.800,01:22:24.850 03/16/2024
6907,20.98362900,105.92504667,2305:523362.850,01:22:24.900 03/16/2024
6908,20.98363067,105.92504617,2305:523362.900,01:22:24.950 03/16/2024
6909,20.98363233,105.92504533,2305:523362.950,01:22:25.000 03/16/2024
6910,20.98363400,105.92504433,2305:523363.000,01:22:25.050 03/16/2024
6911,20.98363550,105.92504350,2305:523363.050,01:22:25.100 03/16/2024
6912,20.98363717,105.92504267,2305:523363.100,01:22:25.150 03/16/2024
6913,20.98363883,105.92504150,2305:523363.150,01:22:25.200 03/16/2024
6914,20.98364050,105.92504033,2305:523363.200,01:22:25.250 03/16/2024
6915,20.98364200,105.92503900,2305:523363.300,01:22:25.300 03/16/2024
6916,20.98364333,105.92503833,2305:523363.350,01:22:25.350 03/16/2024
6917,20.98364500,105.92503750,2305:523363.350,01:22:25.400 03/16/2024
6918,20.98364667,105.92503650,2305:523363.400,01:22:25.450 03/16/2024
6919,20.98364833,105.92503533,2305:523363.450,01:22:25.500 03/16/2024
6920,20.98364983,105.92503433,2305:523363.500,01:22:25.550 03/16/2024
6921,20.98365133,105.92503317,2305:523363.550,01:22:25.600 03/16/2024
6922,20.98365267,105.92503233,2305:523363.600,01:22:25.650 03/16/2024
6923,20.98365417,105.92503167,2305:523363.650,01:22:25.700 03/16/2024
6924,20.98365567,105.92503033,2305:523363.700,01:22:25.750 03/16/2024
6925,20.98365700,105.92502917,2305:523363.750,01:22:25.800 03/16/2024
6926,20.98365817,105.92502833,2305:523363.800,01:22:25.850 03/16/2024
6927,20.98365950,105.92502717,2305:523363.900,01:22:25.900 03/16/2024
6928,20.98366067,105.92502617,2305:523363.950,01:22:25.950 03/16/2024
6929,20.98366217,105.92502517,2305:523363.950,01:22:26.000 03/16/2024
6930,20.98366350,105.92502417,2305:523364.050,01:22:26.050 03/16/2024
6931,20.98366483,105.92502333,2305:523364.050,01:22:26.100 03/16/2024
6932,20.98366633,105.92502233,2305:523364.100,01:22:26.150 03/16/2024
6933,20.98366750,105.92502150,2305:523364.150,01:22:26.200 03/16/2024
6934,20.98366883,105.92502067,2305:523364.200,01:22:26.250 03/16/2024
6935,20.98367000,105.92501967,2305:523364.250,01:22:26.300 03/16/2024
6936,20.98367133,105.92501883,2305:523364.300,01:22:26.350 03/16/2024
6937,20.98367250,105.92501833,2305:523364.350,01:22:26.400 03/16/2024
6938,20.98367350,105.92501750,2305:523364.400,01:22:26.450 03/16/2024
6939,20.98367467,105.92501683,2305:523364.450,01:22:26.500 03/16/2024
6940,20.98367600,105.92501617,2305:523364.550,01:22:26.550 03/16/2024
6941,20.98367717,105.92501533,2305:523364.550,01:22:26.600 03/16/2024
6942,20.98367833,105.92501450,2305:523364.600,01:22:26.650 03/16/2024
6943,20.98367950,105.92501400,2305:523364.650,01:22:26.700 03/16/2024
6944,20.98368050,105.92501317,2305:523364.700,01:22:26.750 03/16/2024
6945,20.98368133,105.92501267,2305:523364.750,01:22:26.800 03/16/2024
6946,20.98368250,105.92501183,2305:523364.800,01:22:26.850 03/16/2024
6947,20.98368333,105.92501150,2305:523364.850,01:22:26.900 03/16/2024
6948,20.98368417,105.92501100,2305:523364.900,01:22:26.950 03/16/2024
6949,20.98368533,105.92501033,2305:523364.950,01:22:27.000 03/16/2024
6950,20.98368617,105.92500917,2305:523365.000,01:22:27.050 03/16/2024
6951,20.98368700,105.92500867,2305:523365.050,01:22:27.100 03/16/2024
6952,20.98368817,105.92500817,2305:523365.100,01:22:27.150 03/16/2024
6953,20.98368900,105.92500750,2305:523365.150,01:22:27.200 03/16/2024
6954,20.98368967,105.92500650,2305:523365.200,01:22:27.250 03/16/2024
6955,20.98369050,105.92500617,2305:523365.250,01:22:27.300 03/16/2024
6956,20.98369133,105.92500550,2305:523365.300,01:22:27.350 03/16/2024
6957,20.98369233,105.92500500,2305:523365.350,01:22:27.400 03/16/2024
6958,20.98369300,105.92500483,2305:523365.400,01:22:27.450 03/16/2024
6959,20.98369383,105.92500433,2305:523365.450,01:22:27.500 03/16/2024
6960,20.98369467,105.92500383,2305:523365.550,01:22:27.550 03/16/2024
6961,20.98369550,105.92500317,2305:523365.550,01:22:27.600 03/16/2024
6962,20.98369617,105.92500283,2305:523365.600,01:22:27.650 03/16/2024
6963,20.98369683,105.92500233,2305:523365.650,01:22:27.700 03/16/2024
6964,20.98369750,105.92500217,2305:523365.700,01:22:27.750 03/16/2024
6965,20.98369817,105.92500167,2305:523365.750,01:22:27.800 03/16/2024
6966,20.98369867,105.92500117,2305:523365.800,01:22:27.850 03/16/2024
6967,20.98369900,105.92500133,2305:523365.850,01:22:27.900 03/16/2024
6968,20.98369967,105.92500100,2305:523365.900,01:22:27.950 03/16/2024
6969,20.98370017,105.92500050,2305:523365.950,01:22:28.000 03/16/2024
6970,20.98370100,105.92500017,2305:523366.000,01:22:28.050 03/16/2024
6971,20.98370150,105.92500017,2305:523366.050,01:22:28.100 03/16/2024
6972,20.98370167,105.92500000,2305:523366.100,01:22:28.150 03/16/2024
6973,20.98370200,105.92499917,2305:523366.150,01:22:28.200 03/16/2024
6974,20.98370250,105.92499850,2305:523366.200,01:22:28.250 03/16/2024
6975,20.98370317,105.92499800,2305:523366.250,01:22:28.300 03/16/2024
6976,20.98370367,105.92499800,2305:523366.300,01:22:28.350 03/16/2024
6977,20.98370400,105.92499767,2305:523366.350,01:22:28.400 03/16/2024
6978,20.98370433,105.92499750,2305:523366.400,01:22:28.450 03/16/2024
6979,20.98370467,105.92499733,2305:523366.450,01:22:28.500 03/16/2024
6980,20.98370500,105.92499733,2305:523366.500,01:22:28.550 03/16/2024
6981,20.98370517,105.92499750,2305:523366.550,01:22:28.600 03/16/2024
6982,20.98370533,105.92499733,2305:523366.600,01:22:28.650 03/16/2024
6983,20.98370550,105.92499733,2305:523366.650,01:22:28.700 03/16/2024
6984,20.98370567,105.92499717,2305:523366.750,01:22:28.750 03/16/2024
6985,20.98370600,105.92499700,2305:523366.750,01:22:28.800 03/16/2024
6986,20.98370617,105.92499683,2305:523366.850,01:22:28.850 03/16/2024
6987,20.98370633,105.92499650,2305:523366.850,01:22:28.900 03/16/2024
6988,20.98370650,105.92499650,2305:523366.900,01:22:28.950 03/16/2024
6989,20.98370667,105.92499633,2305:523366.950,01:22:29.000 03/16/2024
6990,20.98370667,105.92499633,2305:523367.000,01:22:29.050 03/16/2024
6991,20.98370667,105.92499633,2305:523367.050,01:22:29.100 03/16/2024
6992,20.98370667,105.92499633,2305:523367.150,01:22:29.150 03/16/2024
6993,20.98370683,105.92499633,2305:523367.150,01:22:29.200 03/16/2024
6994,20.98370700,105.92499633,2305:523367.200,01:22:29.250 03/16/2024
6995,20.98370700,105.92499633,2305:523367.300,01:22:29.300 03/16/2024
6996,20.98370700,105.92499617,2305:523367.300,01:22:29.350 03/16/2024
6997,20.98370717,105.92499633,2305:523367.350,01:22:29.400 03/16/2024
6998,20.98370717,105.92499633,2305:523367.400,01:22:29.450 03/16/2024
6999,20.98370717,105.92499633,2305:523367.450,01:22:29.500 03/16/2024
7000,20.98370733,105.92499633,2305:523367.500,01:22:29.550 03/16/2024
7001,20.98370750,105.92499633,2305:523367.550,01:22:29.600 03/16/2024
7002,20.98370750,105.92499633,2305:523367.600,01:22:29.650 03/16/2024
7003,20.98370750,105.92499650,2305:523367.650,01:22:29.700 03/16/2024
7004,20.98370750,105.92499667,2305:523367.700,01:22:29.750 03/16/2024
7005,20.98370767,105.92499667,2305:523367.750,01:22:29.800 03/16/2024
7006,20.98370767,105.92499683,2305:523367.800,01:22:29.850 03/16/2024
7007,20.98370767,105.92499700,2305:523367.850,01:22:29.900 03/16/2024
7008,20.98370767,105.92499717,2305:523367.900,01:22:29.950 03/16/2024
7009,20.98370783,105.92499700,2305:523367.950,01:22:30.000 03/16/2024
7010,20.98370783,105.92499733,2305:523368.000,01:22:30.050 03/16/2024
7011,20.98370783,105.92499750,2305:523368.050,01:22:30.100 03/16/2024
7012,20.98370800,105.92499750,2305:523368.100,01:22:30.150 03/16/2024
7013,20.98370800,105.92499767,2305:523368.150,01:22:30.200 03/16/2024
7014,20.98370800,105.92499767,2305:523368.250,01:22:30.250 03/16/2024
7015,20.98370817,105.92499783,2305:523368.250,01:22:30.300 03/16/2024
7016,20.98370800,105.92499817,2305:523368.350,01:22:30.350 03/16/2024
7017,20.98370817,105.92499800,2305:523368.350,01:22:30.400 03/16/2024
7018,20.98370800,105.92499833,2305:523368.400,01:22:30.450 03/16/2024
7019,20.98370817,105.92499833,2305:523368.450,01:22:30.500 03/16/2024
7020,20.98370817,105.92499850,2305:523368.500,01:22:30.550 03/16/2024
7021,20.98370817,105.92499867,2305:523368.600,01:22:30.600 03/16/2024
7022,20.98370817,105.92499883,2305:523368.650,01:22:30.650 03/16/2024
7023,20.98370817,105.92499883,2305:523368.650,01:22:30.700 03/16/2024
7024,20.98370817,105.92499900,2305:523368.750,01:22:30.750 03/16/2024
7025,20.98370833,105.92499900,2305:523368.750,01:22:30.800 03/16/2024
7026,20.98370833,105.92499900,2305:523368.800,01:22:30.850 03/16/2024
7027,20.98370833,105.92499933,2305:523368.850,01:22:30.900 03/16/2024
7028,20.98370833,105.92499933,2305:523368.900,01:22:30.950 03/16/2024
7029,20.98370833,105.92499950,2305:523368.950,01:22:31.000 03/16/2024
7030,20.98370850,105.92499967,2305:523369.050,01:22:31.050 03/16/2024
7031,20.98370850,105.92499983,2305:523369.100,01:22:31.100 03/16/2024
7032,20.98370867,105.92499983,2305:523369.100,01:22:31.150 03/16/2024
7033,20.98370867,105.92499983,2305:523369.150,01:22:31.200 03/16/2024
7034,20.98370883,105.92500000,2305:523369.200,01:22:31.250 03/16/2024
7035,20.98370883,105.92500017,2305:523369.250,01:22:31.300 03/16/2024
7036,20.98370883,105.92500050,2305:523369.300,01:22:31.350 03/16/2024
7037,20.98370883,105.92500067,2305:523369.350,01:22:31.400 03/16/2024
7038,20.98370900,105.92500083,2305:523369.400,01:22:31.450 03/16/2024
7039,20.98370900,105.92500100,2305:523369.450,01:22:31.500 03/16/2024
7040,20.98370917,105.92500117,2305:523369.550,01:22:31.550 03/16/2024
7041,20.98370917,105.92500133,2305:523369.550,01:22:31.600 03/16/2024
7042,20.98370917,105.92500167,2305:523369.600,01:22:31.650 03/16/2024
7043,20.98370917,105.92500183,2305:523369.650,01:22:31.700 03/16/2024
7044,20.98370933,105.92500217,2305:523369.700,01:22:31.750 03/16/2024
7045,20.98370933,105.92500217,2305:523369.750,01:22:31.800 03/16/2024
7046,20.98370933,105.92500250,2305:523369.800,01:22:31.850 03/16/2024
7047,20.98370933,105.92500267,2305:523369.850,01:22:31.900 03/16/2024
7048,20.98370933,105.92500300,2305:523369.900,01:22:31.950 03/16/2024
7049,20.98370933,105.92500317,2305:523369.950,01:22:32.000 03/16/2024
7050,20.98370933,105.92500333,2305:523370.050,01:22:32.050 03/16/2024
7051,20.98370933,105.92500350,2305:523370.050,01:22:32.100 03/16/2024
7052,20.98370917,105.92500383,2305:523370.100,01:22:32.150 03/16/2024
7053,20.98370933,105.92500400,2305:523370.150,01:22:32.200 03/16/2024
7054,20.98370933,105.92500417,2305:523370.200,01:22:32.250 03/16/2024
7055,20.98370933,105.92500433,2305:523370.250,01:22:32.300 03/16/2024
7056,20.98370933,105.92500467,2305:523370.300,01:22:32.350 03/16/2024
7057,20.98370933,105.92500483,2305:523370.350,01:22:32.400 03/16/2024
7058,20.98370933,105.92500500,2305:523370.400,01:22:32.450 03/16/2024
7059,20.98370950,105.92500517,2305:523370.450,01:22:32.500 03/16/2024
7060,20.98370950,105.92500533,2305:523370.500,01:22:32.550 03/16/2024
7061,20.98370950,105.92500533,2305:523370.550,01:22:32.600 03/16/2024
7062,20.98370950,105.92500550,2305:523370.600,01:22:32.650 03/16/2024
7063,20.98370950,105.92500567,2305:523370.650,01:22:32.700 03/16/2024
7064,20.98370950,105.92500583,2305:523370.700,01:22:32.750 03/16/2024
7065,20.98370967,105.92500600,2305:523370.750,01:22:32.800 03/16/2024
7066,20.98370967,105.92500617,2305:523370.800,01:22:32.850 03/16/2024
7067,20.98370967,105.92500633,2305:523370.850,01:22:32.900 03/16/2024
7068,20.98370967,105.92500667,2305:523370.900,01:22:32.950 03/16/2024
7069,20.98370967,105.92500667,2305:523370.950,01:22:33.000 03/16/2024
7070,20.98370967,105.92500667,2305:523371.000,01:22:33.050 03/16/2024
7071,20.98370983,105.92500667,2305:523371.050,01:22:33.100 03/16/2024
7072,20.98370983,105.92500683,2305:523371.100,01:22:33.150 03/16/2024
7073,20.98370983,105.92500700,2305:523371.150,01:22:33.200 03/16/2024
