Lat,Lon
21.0031000,105.8203167
21.0030833,105.8203167
21.0030833,105.8203167
21.0030667,105.8203167
21.0030500,105.8203167
21.0030500,105.8203167
21.0030500,105.8203333
21.0030500,105.8203333
21.0030500,105.8203333
21.0030333,105.8203333
21.0030333,105.8203333
21.0030333,105.8203500
21.0027500,105.8196000
21.0026500,105.8194333
21.0025667,105.8192833
21.0025000,105.8191167
21.0023833,105.8189833
21.0023000,105.8189167
21.0022500,105.8188000
21.0022000,105.8187167
21.0021500,105.8186167
21.0020833,105.8185333
21.0020333,105.8184500
21.0020000,105.8183833
21.0019333,105.8183333
21.0018500,105.8182667
21.0017833,105.8182000
21.0017333,105.8181500
21.0017000,105.8180833
21.0016333,105.8179833
21.0015667,105.8178833
21.0015333,105.8178000
21.0015000,105.8177000
21.0014667,105.8176500
21.0014000,105.8176000
21.0013333,105.8175167
21.0012667,105.8174167
21.0012167,105.8173333
21.0012500,105.8172500
21.0012833,105.8171833
21.0012833,105.8171667
21.0013000,105.8171667
21.0013500,105.8172000
21.0014333,105.8172000
21.0015333,105.8171833
21.0016333,105.8171500
21.0017667,105.8171333
21.0018500,105.8170833
21.0019667,105.8170167
21.0021000,105.8169500
21.0022333,105.8168667
21.0023667,105.8168333
21.0024833,105.8168333
21.0025833,105.8168000
21.0027167,105.8167333
21.0028833,105.8166667
21.0030500,105.8166167
21.0032000,105.8165500
21.0033000,105.8164667
21.0033833,105.8163833
21.0034500,105.8163167
21.0035000,105.8162167
21.0035667,105.8161500
21.0037000,105.8161500
21.0038167,105.8161500
21.0039667,105.8161333
21.0040667,105.8160833
21.0041667,105.8160500
21.0042667,105.8159500
21.0043500,105.8158833
21.0044833,105.8158000
21.0046167,105.8156833
21.0046500,105.8155500
21.0046333,105.8154500
21.0046000,105.8153833
21.0045000,105.8153167
21.0044167,105.8152500
21.0043000,105.8151833
21.0042000,105.8151167
21.0041167,105.8150167
21.0041333,105.8148333
21.0040833,105.8146500
21.0038833,105.8144667
21.0037333,105.8142667
21.0036500,105.8141000
21.0035667,105.8139500
21.0034833,105.8137667
21.0033667,105.8136333
21.0032500,105.8136000
21.0031500,105.8135667
21.0030167,105.8135667
21.0029167,105.8136333
21.0027833,105.8137167
21.0026833,105.8138000
21.0025167,105.8138333
21.0023167,105.8138833
21.0021500,105.8139500
21.0013667,105.8147167
21.0013833,105.8147167
21.0014500,105.8146667
21.0016000,105.8146000
21.0016833,105.8145167
21.0017833,105.8144167
21.0018667,105.8143667
21.0019667,105.8143333
21.0020833,105.8143333
21.0021833,105.8143500
21.0021667,105.8141667
21.0022167,105.8141333
21.0022167,105.8141333
21.0021833,105.8141500
21.0021333,105.8142000
21.0020833,105.8142500
21.0038333,105.8162333
21.0036667,105.8162667
21.0035167,105.8163000
21.0034000,105.8163667
21.0033000,105.8164000
21.0032500,105.8164167
21.0032000,105.8164167
21.0031667,105.8164667
21.0030833,105.8165000
21.0029833,105.8165667
21.0028833,105.8166000
21.0027333,105.8166500
21.0025500,105.8167167
21.0023833,105.8167833
21.0022167,105.8168500
21.0020833,105.8168833
21.0019667,105.8169500
21.0018500,105.8169833
21.0017500,105.8169667
21.0016500,105.8169333
21.0015667,105.8169667
21.0015167,105.8169500
21.0015000,105.8169000
21.0014500,105.8168167
21.0014167,105.8167500
21.0013667,105.8166333
21.0013667,105.8165333
20.9999000,105.8147167
20.9998333,105.8147833
20.9997667,105.8149167
20.9998000,105.8151167
20.9998833,105.8151833
20.9999000,105.8151667
20.9998333,105.8151667
20.9997833,105.8151500
20.9997500,105.8151167
20.9997667,105.8149667
20.9997167,105.8149833
20.9997333,105.8149000
20.9997000,105.8148833
20.9996667,105.8148333
20.9996333,105.8148000
20.9996000,105.8147500
20.9995500,105.8147167
20.9995000,105.8146000
20.9995000,105.8144833
20.9994333,105.8144000
20.9993500,105.8143333
20.9993000,105.8142500
20.9992000,105.8141667
20.9991167,105.8141333
20.9990500,105.8141333
20.9990333,105.8141333
20.9990167,105.8141833
20.9990833,105.8143000
20.9991167,105.8143833
20.9992333,105.8144333
20.9993500,105.8145667
21.0001333,105.8170000
21.0002667,105.8171167
21.0005167,105.8172833
21.0007833,105.8172667
21.0008833,105.8174333
21.0010000,105.8175000
21.0010333,105.8175833
21.0010833,105.8177167
21.0011667,105.8178667
21.0012667,105.8180667
21.0013833,105.8182500
21.0015167,105.8184167
21.0016167,105.8186000
21.0017000,105.8187500
21.0018167,105.8189167
21.0019500,105.8190667
21.0021000,105.8192167
21.0022333,105.8194000
21.0023500,105.8195833
21.0024500,105.8197333
21.0025500,105.8198500
21.0026000,105.8199833
21.0026500,105.8201167
21.0026833,105.8202833
21.0027000,105.8204500
21.0027167,105.8205833
21.0026833,105.8207000
21.0026667,105.8207667
21.0026000,105.8208167
21.0025667,105.8209667
21.0025333,105.8211333
21.0025667,105.8213500
21.0025500,105.8215167
21.0025167,105.8216500
21.0025000,105.8218167
21.0024833,105.8219500
21.0024833,105.8220833
21.0024833,105.8222000
21.0024833,105.8223167
21.0024667,105.8224333
21.0022500,105.8225000
21.0022333,105.8225500
21.0022000,105.8225667
21.0021167,105.8225833
21.0021000,105.8225833
21.0021000,105.8226000
21.0020833,105.8226167
21.0020667,105.8226333
21.0020333,105.8226667
21.0019500,105.8226333
21.0018500,105.8225500
21.0017500,105.8225000
21.0016500,105.8224667
21.0015833,105.8224667
21.0015167,105.8224667
21.0014333,105.8224500
21.0013833,105.8224333
21.0013500,105.8224000
21.0013167,105.8224167
21.0012667,105.8224833
21.0012500,105.8225667
21.0012333,105.8226000
21.0012333,105.8226167
21.0012500,105.8226333
21.0012333,105.8226667
21.0011667,105.8227167
21.0012667,105.8227500
21.0013000,105.8227500
21.0012500,105.8227333
21.0012333,105.8227333
21.0012000,105.8227167
21.0012000,105.8227167
21.0011833,105.8227167
21.0012000,105.8227167
21.0012000,105.8227333
21.0012000,105.8227333
21.0012333,105.8227333
21.0008833,105.8225667
21.0009500,105.8224333
21.0009667,105.8223833
21.0010667,105.8226167
21.0011833,105.8227000
21.0011833,105.8227000
21.0011667,105.8227333
21.0011333,105.8227333
21.0011500,105.8227500
21.0011000,105.8227500
21.0009667,105.8226333
21.0010000,105.8226833
21.0010333,105.8227000
21.0010167,105.8227000
21.0010333,105.8227000
21.0010667,105.8227000
21.0010833,105.8227167
21.0011167,105.8227167
21.0011333,105.8227000
21.0011833,105.8227000
21.0012000,105.8227000
21.0012667,105.8227167
21.0012667,105.8227167
21.0012667,105.8227167
21.0012667,105.8227333
21.0011667,105.8227000
21.0012167,105.8227667
21.0012333,105.8227833
21.0013000,105.8228167
21.0012833,105.8228167
21.0012333,105.8228000
21.0012167,105.8227833
21.0011833,105.8227833
21.0011667,105.8227333
21.0011167,105.8227167
21.0010667,105.8227000
21.0010833,105.8226833
21.0012167,105.8227667
21.0012000,105.8227667
21.0011667,105.8227500
21.0011833,105.8227833
21.0011000,105.8226167
21.0011167,105.8226000
21.0010500,105.8226500
21.0010667,105.8226167
21.0010833,105.8226167
21.0011000,105.8226333
21.0011333,105.8226500
21.0011500,105.8226500
21.0012000,105.8226833
21.0011833,105.8226833
21.0011667,105.8226833
21.0011000,105.8226667
21.0010500,105.8226500
21.0010167,105.8226500
21.0009667,105.8226167
21.0009333,105.8225833
21.0008833,105.8225833
21.0008333,105.8225500
21.0007500,105.8225000
21.0008000,105.8225833
21.0008000,105.8225667
21.0008000,105.8225333
21.0007333,105.8224667
21.0007333,105.8224500
21.0007333,105.8224333
21.0007333,105.8224500
21.0007500,105.8224333
21.0007667,105.8224500
21.0007667,105.8224667
21.0007833,105.8224833
21.0008000,105.8225000
21.0008000,105.8225167
21.0008000,105.8225167
21.0008167,105.8225167
21.0008000,105.8225333
21.0007667,105.8225167
21.0007667,105.8225000
21.0007667,105.8224833
21.0007500,105.8224833
21.0007500,105.8224667
21.0010167,105.8230000
21.0010833,105.8230000
21.0011333,105.8229667
21.0011000,105.8229833
21.0010667,105.8230167
21.0010500,105.8230500
21.0010500,105.8230500
21.0010667,105.8230500
21.0010667,105.8230333
21.0010667,105.8230167
21.0010333,105.8230333
21.0009833,105.8230500
21.0009833,105.8230500
21.0010000,105.8230500
21.0009667,105.8230667
21.0009667,105.8230667
21.0004000,105.8220833
21.0011167,105.8225667
21.0012667,105.8226167
